Source,Source City,Source Country,Target,Target City,Target Country,Source Lat,Source Lon,Target Lat,Target Lon,Weight
SDF,Louisville,USA,CLT,Charlotte,USA,38.1744,-85.736,35.214,-80.9431,8188
PHL,Philadelphia,USA,ELM,Elmira/Corning,USA,39.8719,-75.2411,42.1599,-76.8916,5972
SEA,Seattle,USA,PIT,Pittsburgh,USA,47.449,-122.309,40.4915,-80.2329,12868
SWF,Poughkeepsie,USA,PHL,Philadelphia,USA,41.5042,-74.1047,39.8719,-75.2411,4366
SYR,Syracuse,USA,BOS,Boston,USA,43.1112,-76.1063,42.3643,-71.0052,3512
TPA,Tampa,USA,PNS,Pensacola,USA,27.9755,-82.5332,30.4734,-87.1866,3002
SEA,Seattle,USA,PHL,Philadelphia,USA,47.449,-122.309,39.8719,-75.2411,17918
SHD,Staunton,USA,PIT,Pittsburgh,USA,38.2638,-78.8964,40.4915,-80.2329,2090
SNA,Santa Ana,USA,PIT,Pittsburgh,USA,33.6757,-117.868,40.4915,-80.2329,3120
SRQ,Sarasota/Bradenton,USA,CLT,Charlotte,USA,27.3954,-82.5544,35.214,-80.9431,8910
ROC,Rochester (US) NY,USA,PHL,Philadelphia,USA,43.1189,-77.6724,39.8719,-75.2411,11692
SAN,San Diego,USA,PIT,Pittsburgh,USA,32.7336,-117.19,40.4915,-80.2329,14507
PIT,Pittsburgh,USA,BFD,Bradford,USA,40.4915,-80.2329,41.8031,-78.6401,1026
PIT,Pittsburgh,USA,GSO,Greensboro/High Point,USA,40.4915,-80.2329,36.0978,-79.9373,3414
PIT,Pittsburgh,USA,RSW,Fort Myers,USA,40.4915,-80.2329,26.5362,-81.7552,8802
PHL,Philadelphia,USA,PHF,Newport News,USA,39.8719,-75.2411,37.1319,-76.493,6512
PHL,Philadelphia,USA,ROC,Rochester (US) NY,USA,39.8719,-75.2411,43.1189,-77.6724,9071
ABE,Allentown/Bethlehem/Easton,USA,CLT,Charlotte,USA,40.6521,-75.4408,35.214,-80.9431,3720
ALB,Albany (US) NY,USA,LGA,New York,USA,42.7483,-73.8017,40.775,-73.875,2128
ART,Watertown (US) NY,USA,PIT,Pittsburgh,USA,43.9919,-76.0217,40.4915,-80.2329,1539
TRI,Tri-Cities Regional,USA,PIT,Pittsburgh,USA,36.4752,-82.4074,40.4915,-80.2329,3582
TYS,Knoxville,USA,CLT,Charlotte,USA,35.811,-83.994,35.214,-80.9431,9543
TLH,Tallahassee,USA,CLT,Charlotte,USA,30.3965,-84.3503,35.214,-80.9431,3367
ACK,Nantucket,USA,PHL,Philadelphia,USA,41.2531,-70.0602,39.8719,-75.2411,1970
RSW,Fort Myers,USA,PIT,Pittsburgh,USA,26.5362,-81.7552,40.4915,-80.2329,8856
BDL,Hartford,USA,CLT,Charlotte,USA,41.9392,-72.6833,35.214,-80.9431,16754
ACK,Nantucket,USA,DCA,Washington,USA,41.2531,-70.0602,38.8522,-77.0378,1097
AUG,Augusta (US) ME,USA,BOS,Boston,USA,44.3206,-69.7973,42.3643,-71.0052,931
AVP,Wilkes-Barre,USA,PIT,Pittsburgh,USA,41.3385,-75.7234,40.4915,-80.2329,6590
SNA,Santa Ana,USA,PHL,Philadelphia,USA,33.6757,-117.868,39.8719,-75.2411,3720
PIT,Pittsburgh,USA,AOO,Altoona,USA,40.4915,-80.2329,40.2964,-78.32,1083
PIT,Pittsburgh,USA,GRR,Grand Rapids (US) MI,USA,40.4915,-80.2329,42.8808,-85.5228,5950
PIT,Pittsburgh,USA,ITH,Ithaca,USA,40.4915,-80.2329,42.491,-76.4584,5017
PIT,Pittsburgh,USA,LAN,Lansing,USA,40.4915,-80.2329,42.7787,-84.5874,2313
ALB,Albany (US) NY,USA,CLT,Charlotte,USA,42.7483,-73.8017,35.214,-80.9431,4464
BGR,Bangor,USA,DCA,Washington,USA,44.8074,-68.8281,38.8522,-77.0378,300
BOS,Boston,USA,RKD,Rockland,USA,42.3643,-71.0052,44.0601,-69.0992,1691
BDL,Hartford,USA,ROC,Rochester (US) NY,USA,41.9392,-72.6833,43.1189,-77.6724,1776
BGM,Binghamton,USA,SYR,Syracuse,USA,42.2087,-75.9798,43.1112,-76.1063,37
BOS,Boston,USA,MDT,Harrisburg,USA,42.3643,-71.0052,40.1935,-76.7634,3034
BOS,Boston,USA,AUG,Augusta (US) ME,USA,42.3643,-71.0052,44.3206,-69.7973,1083
PIT,Pittsburgh,USA,RDG,Reading,USA,40.4915,-80.2329,40.3785,-75.9652,1672
RDG,Reading,USA,PIT,Pittsburgh,USA,40.3785,-75.9652,40.4915,-80.2329,1672
ROC,Rochester (US) NY,USA,CLT,Charlotte,USA,43.1189,-77.6724,35.214,-80.9431,3870
BKW,Beckley,USA,BLF,Bluefield,USA,37.7873,-81.1242,37.2958,-81.2077,513
BLF,Bluefield,USA,BKW,Beckley,USA,37.2958,-81.2077,37.7873,-81.1242,1083
BLF,Bluefield,USA,PIT,Pittsburgh,USA,37.2958,-81.2077,40.4915,-80.2329,513
