Source,Source City,Source Country,Target,Target City,Target Country,Weight
JNB,Johannesburg,South Africa,ADD,Addis Ababa,Ethiopia,1413
JNB,Johannesburg,South Africa,BLZ,Blantyre,Malawi,628
JNB,Johannesburg,South Africa,LUN,Lusaka,Zambia,2826
JNB,Johannesburg,South Africa,MGH,Margate,South Africa,980
BFN,Bloemfontein,South Africa,DUR,Durban,South Africa,1512
CPT,Cape Town,South Africa,JNB,Johannesburg,South Africa,4140
DUR,Durban,South Africa,BFN,Bloemfontein,South Africa,1512
GRJ,George,South Africa,JNB,Johannesburg,South Africa,2700
JNB,Johannesburg,South Africa,CPT,Cape Town,South Africa,4140
JNB,Johannesburg,South Africa,GRJ,George,South Africa,2700
LHR,London (GB),UK,CPT,Cape Town,South Africa,5610
LUN,Lusaka,Zambia,JNB,Johannesburg,South Africa,2826
MGH,Margate,South Africa,JNB,Johannesburg,South Africa,980
PLZ,Port Elizabeth,South Africa,CPT,Cape Town,South Africa,12880
PZB,Pietermaritzburg,South Africa,ULD,Ulundi,South Africa,1288
ULD,Ulundi,South Africa,PZB,Pietermaritzburg,South Africa,1288
CPT,Cape Town,South Africa,JNB,Johannesburg,South Africa,4950
CPT,Cape Town,South Africa,MQP,Nelspruit,South Africa,1550
DAR,Dar Es Salaam,Tanzania United Republic of,JNB,Johannesburg,South Africa,2826
JNB,Johannesburg,South Africa,CPT,Cape Town,South Africa,4950
JNB,Johannesburg,South Africa,DAR,Dar Es Salaam,Tanzania United Republic of,2826
JNB,Johannesburg,South Africa,KGL,Kigali,Rwanda,575
JNB,Johannesburg,South Africa,MQP,Nelspruit,South Africa,4648
KGL,Kigali,Rwanda,JNB,Johannesburg,South Africa,575
MQP,Nelspruit,South Africa,CPT,Cape Town,South Africa,1550
MQP,Nelspruit,South Africa,JNB,Johannesburg,South Africa,4648
BFN,Bloemfontein,South Africa,PLZ,Port Elizabeth,South Africa,644
CPT,Cape Town,South Africa,ELS,East London,South Africa,4450
CPT,Cape Town,South Africa,WVB,Walvis Bay,Namibia,1350
DUR,Durban,South Africa,CPT,Cape Town,South Africa,400
JNB,Johannesburg,South Africa,LAD,Luanda,Angola,2744
JNB,Johannesburg,South Africa,MRU,Mauritius,Mauritius,4710
LAD,Luanda,Angola,JNB,Johannesburg,South Africa,2744
CPT,Cape Town,South Africa,KIM,Kimberley,South Africa,1850
ELS,East London,South Africa,CPT,Cape Town,South Africa,4450
HKG,Hong Kong,China,JNB,Johannesburg,South Africa,4560
JNB,Johannesburg,South Africa,CDG,Paris,France,330
JNB,Johannesburg,South Africa,HKG,Hong Kong,China,4560
JNB,Johannesburg,South Africa,LHR,London (GB),UK,15435
JNB,Johannesburg,South Africa,PLZ,Port Elizabeth,South Africa,7536
BKK,Bangkok,Thailand,JNB,Johannesburg,South Africa,3380
CPT,Cape Town,South Africa,WDH,Windhoek,Namibia,2900
ELS,East London,South Africa,JNB,Johannesburg,South Africa,6785
FIH,Kinshasa,Congo Democratic Republic of,JNB,Johannesburg,South Africa,2198
GBE,Gaborone,Botswana,JNB,Johannesburg,South Africa,5800
GRU,Sao Paulo,Brazil,JNB,Johannesburg,South Africa,4140
JNB,Johannesburg,South Africa,BKK,Bangkok,Thailand,3380
MRU,Mauritius,Mauritius,JNB,Johannesburg,South Africa,4710
WVB,Walvis Bay,Namibia,CPT,Cape Town,South Africa,1350
KIM,Kimberley,South Africa,CPT,Cape Town,South Africa,1850
LHR,London (GB),UK,JNB,Johannesburg,South Africa,15435
PLZ,Port Elizabeth,South Africa,BFN,Bloemfontein,South Africa,644
JNB,Johannesburg,South Africa,ELS,East London,South Africa,6785
JNB,Johannesburg,South Africa,FIH,Kinshasa,Congo Democratic Republic of,2198
JNB,Johannesburg,South Africa,GBE,Gaborone,Botswana,5800
JNB,Johannesburg,South Africa,GRU,Sao Paulo,Brazil,4140
JNB,Johannesburg,South Africa,LLW,Lilongwe,Malawi,1840
LLW,Lilongwe,Malawi,JNB,Johannesburg,South Africa,1840
PLZ,Port Elizabeth,South Africa,JNB,Johannesburg,South Africa,7379
WDH,Windhoek,Namibia,CPT,Cape Town,South Africa,2900
HDS,Hoedspruit,South Africa,JNB,Johannesburg,South Africa,2050
JNB,Johannesburg,South Africa,HDS,Hoedspruit,South Africa,2050
JNB,Johannesburg,South Africa,PHW,Phalaborwa,South Africa,2156
PHW,Phalaborwa,South Africa,JNB,Johannesburg,South Africa,2156
CPT,Cape Town,South Africa,JNB,Johannesburg,South Africa,75831
EBB,Entebbe,Uganda,JNB,Johannesburg,South Africa,2041
HKG,Hong Kong,China,JNB,Johannesburg,South Africa,230
JFK,New York,USA,JNB,Johannesburg,South Africa,7546
JNB,Johannesburg,South Africa,CPT,Cape Town,South Africa,76459
JNB,Johannesburg,South Africa,EBB,Entebbe,Uganda,2041
JNB,Johannesburg,South Africa,HKG,Hong Kong,China,230
JNB,Johannesburg,South Africa,LLW,Lilongwe,Malawi,942
JNB,Johannesburg,South Africa,MPM,Maputo,Mozambique,3910
JNB,Johannesburg,South Africa,MPM,Maputo,Mozambique,1413
LLW,Lilongwe,Malawi,JNB,Johannesburg,South Africa,942
MPM,Maputo,Mozambique,JNB,Johannesburg,South Africa,3910
MPM,Maputo,Mozambique,JNB,Johannesburg,South Africa,1413
DUR,Durban,South Africa,PLZ,Port Elizabeth,South Africa,224
DUR,Durban,South Africa,PLZ,Port Elizabeth,South Africa,12880
ELS,East London,South Africa,PLZ,Port Elizabeth,South Africa,628
FRA,Frankfurt,Germany,JNB,Johannesburg,South Africa,11780
HRE,Harare,Zimbabwe,JNB,Johannesburg,South Africa,3565
JNB,Johannesburg,South Africa,FRA,Frankfurt,Germany,11780
JNB,Johannesburg,South Africa,HRE,Harare,Zimbabwe,3565
JNB,Johannesburg,South Africa,UTT,Umtata,South Africa,1624
PLZ,Port Elizabeth,South Africa,DUR,Durban,South Africa,224
PLZ,Port Elizabeth,South Africa,DUR,Durban,South Africa,12880
PLZ,Port Elizabeth,South Africa,ELS,East London,South Africa,628
UTT,Umtata,South Africa,JNB,Johannesburg,South Africa,1624
BLZ,Blantyre,Malawi,JNB,Johannesburg,South Africa,575
BUQ,Bulawayo,Zimbabwe,JNB,Johannesburg,South Africa,1550
CPT,Cape Town,South Africa,JNB,Johannesburg,South Africa,450
CPT,Cape Town,South Africa,UTN,Upington,South Africa,1550
JNB,Johannesburg,South Africa,BLZ,Blantyre,Malawi,575
JNB,Johannesburg,South Africa,BUQ,Bulawayo,Zimbabwe,1550
JNB,Johannesburg,South Africa,CPT,Cape Town,South Africa,450
JNB,Johannesburg,South Africa,LOS,Lagos,Nigeria,260
JNB,Johannesburg,South Africa,NLA,Ndola,Zambia,2200
JNB,Johannesburg,South Africa,PER,Perth,Australia,5610
JNB,Johannesburg,South Africa,PTG,Polokwane,South Africa,2268
LOS,Lagos,Nigeria,JNB,Johannesburg,South Africa,260
NLA,Ndola,Zambia,JNB,Johannesburg,South Africa,2200
PER,Perth,Australia,JNB,Johannesburg,South Africa,5940
PTG,Polokwane,South Africa,JNB,Johannesburg,South Africa,2268
UTN,Upington,South Africa,CPT,Cape Town,South Africa,1550
DUR,Durban,South Africa,MPM,Maputo,Mozambique,644
ELS,East London,South Africa,JNB,Johannesburg,South Africa,2512
JNB,Johannesburg,South Africa,ABJ,Abidjan,Cote D'Ivoire,712
JNB,Johannesburg,South Africa,ELS,East London,South Africa,2669
MPM,Maputo,Mozambique,DUR,Durban,South Africa,644
BOM,Mumbai,India,JNB,Johannesburg,South Africa,3026
CPT,Cape Town,South Africa,SID,Sal Island,Cape Verde,4459
DKR,Dakar,Senegal,JFK,New York,USA,3087
DUR,Durban,South Africa,JNB,Johannesburg,South Africa,26565
GRJ,George,South Africa,JNB,Johannesburg,South Africa,460
JFK,New York,USA,DKR,Dakar,Senegal,3087
JNB,Johannesburg,South Africa,BOM,Mumbai,India,3204
JNB,Johannesburg,South Africa,DUR,Durban,South Africa,27025
JNB,Johannesburg,South Africa,GRJ,George,South Africa,460
JNB,Johannesburg,South Africa,LOS,Lagos,Nigeria,4290
JNB,Johannesburg,South Africa,NTY,Sun City,South Africa,756
LOS,Lagos,Nigeria,JNB,Johannesburg,South Africa,4290
NTY,Sun City,South Africa,JNB,Johannesburg,South Africa,756
SID,Sal Island,Cape Verde,CPT,Cape Town,South Africa,4802
CPT,Cape Town,South Africa,LHR,London (GB),UK,4802
JNB,Johannesburg,South Africa,LAD,Luanda,Angola,1980
JNB,Johannesburg,South Africa,RCB,Richards Bay,South Africa,5200
JNB,Johannesburg,South Africa,UTN,Upington,South Africa,1550
JNB,Johannesburg,South Africa,WDH,Windhoek,Namibia,4553
JNB,Johannesburg,South Africa,WVB,Walvis Bay,Namibia,1350
LAD,Luanda,Angola,JNB,Johannesburg,South Africa,1980
LHR,London (GB),UK,CPT,Cape Town,South Africa,4802
RCB,Richards Bay,South Africa,JNB,Johannesburg,South Africa,5200
UTN,Upington,South Africa,JNB,Johannesburg,South Africa,1550
WDH,Windhoek,Namibia,JNB,Johannesburg,South Africa,4553
WVB,Walvis Bay,Namibia,JNB,Johannesburg,South Africa,1350
NOU,Noumea,New Caledonia,PPT,Papeete,French Polynesia,1068
PPT,Papeete,French Polynesia,NOU,Noumea,New Caledonia,1068
KIX,Osaka,Japan,NOU,Noumea,New Caledonia,2136
NOU,Noumea,New Caledonia,KIX,Osaka,Japan,2136
NOU,Noumea,New Caledonia,NRT,Tokyo,Japan,5874
NRT,Tokyo,Japan,NOU,Noumea,New Caledonia,5874
BNE,Brisbane,Australia,NOU,Noumea,New Caledonia,1134
NAN,Nadi,Fiji,NOU,Noumea,New Caledonia,1386
NOU,Noumea,New Caledonia,BNE,Brisbane,Australia,1134
NOU,Noumea,New Caledonia,NAN,Nadi,Fiji,756
NAN,Nadi,Fiji,NOU,Noumea,New Caledonia,267
NOU,Noumea,New Caledonia,NAN,Nadi,Fiji,267
AKL,Auckland,New Zealand,NOU,Noumea,New Caledonia,504
NOU,Noumea,New Caledonia,AKL,Auckland,New Zealand,504
NOU,Noumea,New Caledonia,SYD,Sydney (AU),Australia,1869
NOU,Noumea,New Caledonia,WLS,Wallis Island,Wallis and Futuna Islands,882
SYD,Sydney (AU),Australia,NOU,Noumea,New Caledonia,1869
WLS,Wallis Island,Wallis and Futuna Islands,NOU,Noumea,New Caledonia,252
NOU,Noumea,New Caledonia,SYD,Sydney (AU),Australia,1512
SYD,Sydney (AU),Australia,NOU,Noumea,New Caledonia,1512
AKL,Auckland,New Zealand,NOU,Noumea,New Caledonia,1335
NOU,Noumea,New Caledonia,AKL,Auckland,New Zealand,1335
FUT,Futuna,Wallis and Futuna Islands,WLS,Wallis Island,Wallis and Futuna Islands,665
NAN,Nadi,Fiji,WLS,Wallis Island,Wallis and Futuna Islands,504
WLS,Wallis Island,Wallis and Futuna Islands,FUT,Futuna,Wallis and Futuna Islands,665
WLS,Wallis Island,Wallis and Futuna Islands,NAN,Nadi,Fiji,1134
NOU,Noumea,New Caledonia,VLI,Port Vila,Vanuatu,1008
VLI,Port Vila,Vanuatu,NOU,Noumea,New Caledonia,1008
CAN,Guangzhou,China,TNA,Jinan,China,8618
JDZ,Jingdezhen,China,SZX,Shenzhen,China,450
PEK,Beijing,China,TAO,Qingdao,China,450
SZX,Shenzhen,China,JDZ,Jingdezhen,China,450
CGQ,Changchun,China,DLC,Dalian,China,2450
DLC,Dalian,China,CGQ,Changchun,China,2450
NDG,Qiqihar,China,PEK,Beijing,China,650
NGB,Ningbo,China,NKG,Nanjing,China,450
NKG,Nanjing,China,NGB,Ningbo,China,450
PEK,Beijing,China,NDG,Qiqihar,China,650
PVG,Shanghai,China,YNT,Yantai,China,2200
TAO,Qingdao,China,PEK,Beijing,China,450
TNA,Jinan,China,CAN,Guangzhou,China,8618
TNA,Jinan,China,WUH,Wuhan,China,450
WUH,Wuhan,China,TNA,Jinan,China,450
DLC,Dalian,China,TAO,Qingdao,China,3100
FOC,Fuzhou,China,XMN,Xiamen,China,1550
HFE,Hefei,China,TAO,Qingdao,China,770
YNT,Yantai,China,PVG,Shanghai,China,2200
TAO,Qingdao,China,DLC,Dalian,China,3100
CGO,Zhengzhou,China,WUH,Wuhan,China,595
HGH,Hangzhou,China,TNA,Jinan,China,4309
PEK,Beijing,China,TAO,Qingdao,China,12927
PEK,Beijing,China,TNA,Jinan,China,8618
PEK,Beijing,China,YNT,Yantai,China,2000
PEK,Beijing,China,YNZ,Yancheng,China,700
TAO,Qingdao,China,PEK,Beijing,China,12927
TNA,Jinan,China,FOC,Fuzhou,China,4309
TNA,Jinan,China,HGH,Hangzhou,China,4309
TNA,Jinan,China,PEK,Beijing,China,8618
WUH,Wuhan,China,CGO,Zhengzhou,China,595
YNT,Yantai,China,PEK,Beijing,China,2000
YNZ,Yancheng,China,PEK,Beijing,China,700
SZX,Shenzhen,China,TAO,Qingdao,China,450
TAO,Qingdao,China,SZX,Shenzhen,China,450
TAO,Qingdao,China,WUH,Wuhan,China,450
TNA,Jinan,China,YNT,Yantai,China,1807
WUH,Wuhan,China,TAO,Qingdao,China,450
YNT,Yantai,China,TNA,Jinan,China,1807
LYI,Linyi,China,SHA,Shanghai,China,450
SHA,Shanghai,China,LYI,Linyi,China,450
XMN,Xiamen,China,TAO,Qingdao,China,1550
DOY,Dongying,China,PEK,Beijing,China,450
PEK,Beijing,China,DOY,Dongying,China,450
PEK,Beijing,China,XFN,Xiangyang,China,400
SZX,Shenzhen,China,TAO,Qingdao,China,4309
SZX,Shenzhen,China,TNA,Jinan,China,1550
TNA,Jinan,China,SZX,Shenzhen,China,3100
TNA,Jinan,China,WNZ,Wenzhou,China,450
WNZ,Wenzhou,China,TNA,Jinan,China,450
XFN,Xiangyang,China,PEK,Beijing,China,400
LYI,Linyi,China,TAO,Qingdao,China,4309
HGH,Hangzhou,China,TAO,Qingdao,China,1807
KMG,Kunming,China,TAO,Qingdao,China,3753
SHA,Shanghai,China,TNA,Jinan,China,12927
TAO,Qingdao,China,HGH,Hangzhou,China,4309
TAO,Qingdao,China,KMG,Kunming,China,3753
TAO,Qingdao,China,LYI,Linyi,China,4309
TNA,Jinan,China,CTU,Chengdu,China,600
TNA,Jinan,China,SHA,Shanghai,China,12927
PEK,Beijing,China,XUZ,Xuzhou,China,600
SZX,Shenzhen,China,TNA,Jinan,China,8618
TAO,Qingdao,China,TSN,Tianjin,China,1550
TNA,Jinan,China,SZX,Shenzhen,China,4309
TSN,Tianjin,China,TAO,Qingdao,China,1550
XMN,Xiamen,China,TNA,Jinan,China,4309
XUZ,Xuzhou,China,PEK,Beijing,China,600
NKG,Nanjing,China,TAO,Qingdao,China,450
PEK,Beijing,China,YIW,Yiwu,China,700
PVG,Shanghai,China,TAO,Qingdao,China,17236
TAO,Qingdao,China,FOC,Fuzhou,China,1550
TAO,Qingdao,China,NKG,Nanjing,China,450
TAO,Qingdao,China,PVG,Shanghai,China,17236
CAN,Guangzhou,China,LYI,Linyi,China,4309
CSX,Changsha,China,HFE,Hefei,China,450
CTU,Chengdu,China,TAO,Qingdao,China,600
DLC,Dalian,China,TNA,Jinan,China,1550
HFE,Hefei,China,CSX,Changsha,China,1550
YIW,Yiwu,China,PEK,Beijing,China,700
HGH,Hangzhou,China,KHN,Nanchang,China,1550
KOW,Ganzhou,China,SZX,Shenzhen,China,450
LYI,Linyi,China,CAN,Guangzhou,China,4309
PEK,Beijing,China,WEF,Weifang,China,450
SHE,Shenyang,China,YNT,Yantai,China,900
SZX,Shenzhen,China,KOW,Ganzhou,China,450
INC,Yinchuan,China,TNA,Jinan,China,650
KHN,Nanchang,China,HGH,Hangzhou,China,900
KOW,Ganzhou,China,PEK,Beijing,China,450
LLF,Ling Ling,China,SZX,Shenzhen,China,450
PEK,Beijing,China,KOW,Ganzhou,China,450
SZX,Shenzhen,China,LLF,Ling Ling,China,450
TNA,Jinan,China,INC,Yinchuan,China,650
TNA,Jinan,China,DLC,Dalian,China,1550
WEF,Weifang,China,PEK,Beijing,China,450
YNT,Yantai,China,SHE,Shenyang,China,900
HFE,Hefei,China,TAO,Qingdao,China,450
TAO,Qingdao,China,HFE,Hefei,China,1550
TNA,Jinan,China,XIY,Xi'an,China,1550
XIY,Xi'an,China,TNA,Jinan,China,1550
HGH,Hangzhou,China,KWL,Guilin,China,4309
KMG,Kunming,China,TNA,Jinan,China,4309
KWL,Guilin,China,HGH,Hangzhou,China,4309
LZH,Liuzhou,China,SHA,Shanghai,China,1550
SHA,Shanghai,China,LZH,Liuzhou,China,1550
TNA,Jinan,China,CGO,Zhengzhou,China,595
TNA,Jinan,China,KMG,Kunming,China,4309
HGH,Hangzhou,China,SZX,Shenzhen,China,4309
INC,Yinchuan,China,URC,Urumqi,China,650
LYG,Lianyungang,China,PEK,Beijing,China,900
LZH,Liuzhou,China,PEK,Beijing,China,1550
PEK,Beijing,China,LYG,Lianyungang,China,900
PEK,Beijing,China,LZH,Liuzhou,China,1550
SZX,Shenzhen,China,HGH,Hangzhou,China,1807
SZX,Shenzhen,China,YNT,Yantai,China,650
URC,Urumqi,China,INC,Yinchuan,China,650
YNT,Yantai,China,SZX,Shenzhen,China,650
CKG,Chongqing,China,TNA,Jinan,China,950
DLC,Dalian,China,TAO,Qingdao,China,4309
FOC,Fuzhou,China,XMN,Xiamen,China,4309
HRB,Harbin,China,SHE,Shenyang,China,900
LYI,Linyi,China,WEF,Weifang,China,450
NGB,Ningbo,China,NKG,Nanjing,China,770
NKG,Nanjing,China,NGB,Ningbo,China,770
SHE,Shenyang,China,HRB,Harbin,China,900
TAO,Qingdao,China,DLC,Dalian,China,4309
TNA,Jinan,China,CKG,Chongqing,China,950
WEF,Weifang,China,LYI,Linyi,China,450
SHE,Shenyang,China,TAO,Qingdao,China,1100
TAO,Qingdao,China,SHE,Shenyang,China,1100
NKG,Nanjing,China,TAO,Qingdao,China,1855
TAO,Qingdao,China,NKG,Nanjing,China,1855
CSX,Changsha,China,HFE,Hefei,China,770
HAK,Haikou,China,SZX,Shenzhen,China,4309
HGH,Hangzhou,China,TAO,Qingdao,China,900
SZX,Shenzhen,China,HAK,Haikou,China,4309
TAO,Qingdao,China,HGH,Hangzhou,China,1550
AMM,Amman,Jordan,DAM,Damascus,Syrian Arab Republic,1375
AUH,Abu Dhabi,United Arab Emirates,KRT,Khartoum,Sudan,2475
CAI,Cairo,Egypt,IST,Istanbul,Turkey,1375
DOG,Dongola,Sudan,KRT,Khartoum,Sudan,936
KRT,Khartoum,Sudan,DOG,Dongola,Sudan,2392
KRT,Khartoum,Sudan,DOH,Doha,Qatar,1375
KRT,Khartoum,Sudan,LOS,Lagos,Nigeria,1100
CAI,Cairo,Egypt,PZU,Port Sudan,Sudan,416
IST,Istanbul,Turkey,CAI,Cairo,Egypt,1375
PZU,Port Sudan,Sudan,CAI,Cairo,Egypt,416
KRT,Khartoum,Sudan,DXB,Dubai (AE) 00,United Arab Emirates,1100
KRT,Khartoum,Sudan,SHJ,Sharjah,United Arab Emirates,1375
MCT,Muscat,Oman,KRT,Khartoum,Sudan,1375
SHJ,Sharjah,United Arab Emirates,MCT,Muscat,Oman,1375
AAN,Al Ain,United Arab Emirates,AUH,Abu Dhabi,United Arab Emirates,416
KRT,Khartoum,Sudan,UYL,Nyala,Sudan,428
UYL,Nyala,Sudan,KRT,Khartoum,Sudan,428
DAM,Damascus,Syrian Arab Republic,KRT,Khartoum,Sudan,3850
EBD,El Obeid,Sudan,WUU,Wau,Sudan,250
ELF,El Fasher,Sudan,KRT,Khartoum,Sudan,1040
KRT,Khartoum,Sudan,DAM,Damascus,Syrian Arab Republic,2475
KRT,Khartoum,Sudan,ELF,El Fasher,Sudan,936
SAH,Sanaa,Yemen,KRT,Khartoum,Sudan,520
WUU,Wau,Sudan,EBD,El Obeid,Sudan,250
CAI,Cairo,Egypt,LHR,London (GB),UK,1100
EGN,Geneina,Sudan,ELF,El Fasher,Sudan,168
ELF,El Fasher,Sudan,EGN,Geneina,Sudan,210
KRT,Khartoum,Sudan,RUH,Riyadh,Saudi Arabia,1100
LHR,London (GB),UK,CAI,Cairo,Egypt,1375
NIM,Niamey,Niger,KRT,Khartoum,Sudan,1100
RUH,Riyadh,Saudi Arabia,KRT,Khartoum,Sudan,1100
DOG,Dongola,Sudan,KRT,Khartoum,Sudan,378
JED,Jeddah,Saudi Arabia,KRT,Khartoum,Sudan,4950
JED,Jeddah,Saudi Arabia,PZU,Port Sudan,Sudan,416
KRT,Khartoum,Sudan,AAN,Al Ain,United Arab Emirates,416
KRT,Khartoum,Sudan,AMM,Amman,Jordan,1375
KRT,Khartoum,Sudan,DOG,Dongola,Sudan,378
KRT,Khartoum,Sudan,JED,Jeddah,Saudi Arabia,6050
PZU,Port Sudan,Sudan,JED,Jeddah,Saudi Arabia,416
BGF,Bangui,Central African Republic,UYL,Nyala,Sudan,428
DOG,Dongola,Sudan,MWE,Merowe,Sudan,168
EBD,El Obeid,Sudan,KRT,Khartoum,Sudan,450
KRT,Khartoum,Sudan,EBD,El Obeid,Sudan,450
KRT,Khartoum,Sudan,NDJ,Ndjamena,Chad,1100
KRT,Khartoum,Sudan,PZU,Port Sudan,Sudan,2808
PZU,Port Sudan,Sudan,KRT,Khartoum,Sudan,3432
UYL,Nyala,Sudan,BGF,Bangui,Central African Republic,428
NDJ,Ndjamena,Chad,KAN,Kano,Nigeria,1100
DOG,Dongola,Sudan,TIP,Tripoli,Libya,520
